gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
ACVR2B	ENSG00000114739.16	ENST00000352511.5	ENSP00000340361.3	NM_001106.4	93	NP_001097.2
ACVRL1	ENSG00000139567.16	ENST00000388922.9	ENSP00000373574.4	NM_000020.3	94	NP_000011.2
ACY1	ENSG00000243989.11	ENST00000636358.2	ENSP00000490149.1	NM_000666.3	95	NP_000657.1
ACY3	ENSG00000132744.10	ENST00000255082.8	ENSP00000255082.3	NM_080658.2	91703	NP_542389.1
ACYP1	ENSG00000119640.11	ENST00000238618.8	ENSP00000238618.3	NM_001107.5	97	NP_001098.1
ACYP2	ENSG00000170634.14	ENST00000394666.9	ENSP00000378161.3	NM_138448.4	98	NP_612457.1
ADA	ENSG00000196839.16	ENST00000372874.9	ENSP00000361965.4	NM_000022.4	100	NP_000013.2
ADA2	ENSG00000093072.21	ENST00000399837.8	ENSP00000382731.2	NM_001282225.2	51816	NP_001269154.1
ADAD1	ENSG00000164113.12	ENST00000296513.7	ENSP00000296513.2	NM_139243.4	132612	NP_640336.1
ADAD2	ENSG00000140955.13	ENST00000315906.10	ENSP00000325153.6	NM_001145400.2	161931	NP_001138872.1
ADAM10	ENSG00000137845.17	ENST00000260408.8	ENSP00000260408.3	NM_001110.4	102	NP_001101.1
ADAM11	ENSG00000073670.16	ENST00000200557.11	ENSP00000200557.6	NM_002390.6	4185	NP_002381.2
ADAM12	ENSG00000148848.16	ENST00000448723.2	ENSP00000391268.2	NM_001288973.2	8038	NP_001275902.1
ADAM15	ENSG00000143537.16	ENST00000356955.7	ENSP00000349436.2	NM_207197.3	8751	NP_997080.1
ADAM17	ENSG00000151694.17	ENST00000310823.8	ENSP00000309968.3	NM_003183.6	6868	NP_003174.3
ADAM18	ENSG00000168619.17	ENST00000265707.10	ENSP00000265707.5	NM_014237.3	8749	NP_055052.1
ADAM19	ENSG00000135074.18	ENST00000257527.9	ENSP00000257527.5	NM_033274.5	8728	NP_150377.1
ADAM2	ENSG00000104755.16	ENST00000265708.9	ENSP00000265708.4	NM_001464.5	2515	NP_001455.3
ADAM20	ENSG00000134007.5	ENST00000256389.5	ENSP00000256389.3	NM_003814.5	8748	NP_003805.4
ADAM21	ENSG00000139985.10	ENST00000603540.2	ENSP00000474385.1	NM_003813.4	8747	NP_003804.2
ADAM22	ENSG00000008277.17	ENST00000413139.2	ENSP00000412085.2	NM_001324418.2	53616	NP_001311347.1
ADAM23	ENSG00000114948.15	ENST00000264377.8	ENSP00000264377.3	NM_003812.4	8745	NP_003803.1
ADAM28	ENSG00000042980.16	ENST00000265769.9	ENSP00000265769.4	NM_014265.6	10863	NP_055080.2
ADAM29	ENSG00000168594.15	ENST00000359240.7	ENSP00000352177.3	NM_014269.4	11086	NP_055084.3
ADAM30	ENSG00000134249.7	ENST00000369400.2	ENSP00000358407.1	NM_021794.4	11085	NP_068566.2
ADAM32	ENSG00000197140.17	ENST00000379907.9	ENSP00000369238.4	NM_145004.7	203102	NP_659441.4
ADAM33	ENSG00000149451.21	ENST00000356518.7	ENSP00000348912.3	NM_025220.5	80332	NP_079496.1
ADAM7	ENSG00000069206.16	ENST00000175238.10	ENSP00000175238.5	NM_003817.4	8756	NP_003808.2
ADAM8	ENSG00000151651.18	ENST00000445355.8	ENSP00000453302.1	NM_001109.5	101	NP_001100.3
ADAM9	ENSG00000168615.15	ENST00000487273.7	ENSP00000419446.2	NM_003816.3	8754	NP_003807.1
ADAMDEC1	ENSG00000134028.16	ENST00000256412.8	ENSP00000256412.4	NM_014479.3	27299	NP_055294.1
ADAMTS1	ENSG00000154734.18	ENST00000284984.8	ENSP00000284984.2	NM_006988.5	9510	NP_008919.3
ADAMTS10	ENSG00000142303.16	ENST00000597188.6	ENSP00000471851.1	NM_030957.4	81794	NP_112219.3
ADAMTS12	ENSG00000151388.12	ENST00000504830.6	ENSP00000422554.1	NM_030955.4	81792	NP_112217.2
ADAMTS13	ENSG00000160323.21	ENST00000355699.7	ENSP00000347927.2	NM_139027.6	11093	NP_620596.2
ADAMTS14	ENSG00000138316.13	ENST00000373207.2	ENSP00000362303.1	NM_080722.4	140766	NP_542453.2
ADAMTS15	ENSG00000166106.6	ENST00000299164.4	ENSP00000299164.2	NM_139055.4	170689	NP_620686.1
ADAMTS16	ENSG00000145536.17	ENST00000274181.7	ENSP00000274181.7	NM_139056.4	170690	NP_620687.2
ADAMTS17	ENSG00000140470.17	ENST00000268070.9	ENSP00000268070.4	NM_139057.4	170691	NP_620688.2
ADAMTS18	ENSG00000140873.16	ENST00000282849.10	ENSP00000282849.5	NM_199355.4	170692	NP_955387.1
ADAMTS19	ENSG00000145808.12	ENST00000274487.9	ENSP00000274487.5	NM_133638.6	171019	NP_598377.4
ADAMTS2	ENSG00000087116.19	ENST00000251582.12	ENSP00000251582.7	NM_014244.5	9509	NP_055059.2
ADAMTS20	ENSG00000173157.20	ENST00000389420.8	ENSP00000374071.3	NM_025003.5	80070	NP_079279.3
ADAMTS3	ENSG00000156140.12	ENST00000286657.10	ENSP00000286657.4	NM_014243.3	9508	NP_055058.2
ADAMTS4	ENSG00000158859.12	ENST00000367996.6	ENSP00000356975.4	NM_005099.6	9507	NP_005090.3
ADAMTS5	ENSG00000154736.8	ENST00000284987.6	ENSP00000284987.5	NM_007038.5	11096	NP_008969.2
ADAMTS6	ENSG00000049192.16	ENST00000381055.8	ENSP00000370443.3	NM_197941.4	11174	NP_922932.2
ADAMTS7	ENSG00000136378.17	ENST00000388820.5	ENSP00000373472.4	NM_014272.5	11173	NP_055087.2
ADAMTS8	ENSG00000134917.12	ENST00000257359.7	ENSP00000257359.6	NM_007037.6	11095	NP_008968.4
ADAMTS9	ENSG00000163638.14	ENST00000498707.5	ENSP00000418735.1	NM_182920.2	56999	NP_891550.1
ADAMTSL1	ENSG00000178031.20	ENST00000380548.9	ENSP00000369921.4	NM_001040272.6	92949	NP_001035362.3
ADAMTSL2	ENSG00000197859.13	ENST00000651351.2	ENSP00000498961.2	NM_014694.4	9719	NP_055509.2
ADAMTSL3	ENSG00000156218.15	ENST00000286744.10	ENSP00000286744.5	NM_207517.3	57188	NP_997400.2
ADAMTSL4	ENSG00000143382.18	ENST00000271643.9	ENSP00000271643.4	NM_019032.6	54507	NP_061905.2
ADAMTSL5	ENSG00000185761.13	ENST00000330475.9	ENSP00000327608.3	NM_213604.3	339366	NP_998769.2
ADAP1	ENSG00000105963.17	ENST00000265846.10	ENSP00000265846.5	NM_006869.4	11033	NP_006860.2
ADAP2	ENSG00000184060.14	ENST00000330889.8	ENSP00000329468.3	NM_018404.3	55803	NP_060874.1
ADAR	ENSG00000160710.21	ENST00000368474.9	ENSP00000357459.4	NM_001111.5	103	NP_001102.3
ADARB1	ENSG00000197381.20	ENST00000348831.9	ENSP00000015877.6	NM_001112.4	104	NP_001103.1
ADARB2	ENSG00000185736.17	ENST00000381312.6	ENSP00000370713.1	NM_018702.4	105	NP_061172.1
ADAT1	ENSG00000065457.13	ENST00000564657.2	ENSP00000457501.2	NM_001324445.2	23536	NP_001311374.1
ADAT2	ENSG00000189007.18	ENST00000237283.9	ENSP00000237283.8	NM_182503.3	134637	NP_872309.2
ADAT3	ENSG00000213638.8	ENST00000329478.4	ENSP00000332448.2	NM_138422.4	113179	NP_612431.2
ADCK1	ENSG00000063761.18	ENST00000238561.10	ENSP00000238561.5	NM_020421.4	57143	NP_065154.2
ADCK2	ENSG00000133597.13	ENST00000072869.9	ENSP00000072869.4	NM_052853.4	90956	NP_443085.2
ADCK5	ENSG00000173137.14	ENST00000308860.11	ENSP00000310547.6	NM_174922.5	203054	NP_777582.4
ADCY1	ENSG00000164742.18	ENST00000297323.12	ENSP00000297323.7	NM_021116.4	107	NP_066939.1
ADCY10	ENSG00000143199.19	ENST00000367851.9	ENSP00000356825.4	NM_018417.6	55811	NP_060887.2
ADCY2	ENSG00000078295.19	ENST00000338316.9	ENSP00000342952.4	NM_020546.3	108	NP_065433.2
ADCY3	ENSG00000138031.17	ENST00000679454.1	ENSP00000505261.1	NM_004036.5	109	NP_004027.2
ADCY4	ENSG00000129467.16	ENST00000418030.7	ENSP00000393177.2	NM_001198568.2	196883	NP_001185497.1
ADCY5	ENSG00000173175.18	ENST00000462833.6	ENSP00000419361.1	NM_183357.3	111	NP_899200.1
ADCY6	ENSG00000174233.14	ENST00000357869.8	ENSP00000350536.4	NM_015270.5	112	NP_056085.1
ADCY7	ENSG00000121281.14	ENST00000673801.1	ENSP00000501053.1	NM_001114.5	113	NP_001105.1
ADCY8	ENSG00000155897.12	ENST00000286355.10	ENSP00000286355.5	NM_001115.3	114	NP_001106.1
ADCY9	ENSG00000162104.12	ENST00000294016.8	ENSP00000294016.3	NM_001116.4	115	NP_001107.2
ADCYAP1	ENSG00000141433.15	ENST00000450565.8	ENSP00000411658.3	NM_001099733.2	116	NP_001093203.1
ADCYAP1R1	ENSG00000078549.18	ENST00000304166.9	ENSP00000306620.4	NM_001118.5	117	NP_001109.2
ADD1	ENSG00000087274.21	ENST00000683351.1	ENSP00000508142.1	NM_001354761.2	118	NP_001341690.1
ADD2	ENSG00000075340.25	ENST00000264436.9	ENSP00000264436.3	NM_001617.4	119	NP_001608.1
ADD3	ENSG00000148700.17	ENST00000356080.9	ENSP00000348381.4	NM_016824.5	120	NP_058432.1
ADGB	ENSG00000118492.19	ENST00000397944.8	ENSP00000381036.3	NM_024694.4	79747	NP_078970.3
ADGRA1	ENSG00000197177.18	ENST00000392607.8	ENSP00000376384.3	NM_001083909.3	84435	NP_001077378.1
ADGRA2	ENSG00000020181.20	ENST00000412232.3	ENSP00000406367.2	NM_032777.10	25960	NP_116166.9
ADGRA3	ENSG00000152990.16	ENST00000334304.10	ENSP00000334952.5	NM_145290.4	166647	NP_660333.2
ADGRB1	ENSG00000181790.14	ENST00000517894.6	ENSP00000430945.1	NM_001702.3	575	NP_001693.2
ADGRB2	ENSG00000121753.13	ENST00000373658.8	ENSP00000362762.3	NM_001364857.2	576	NP_001351786.1
ADGRB3	ENSG00000135298.16	ENST00000370598.6	ENSP00000359630.1	NM_001704.3	577	NP_001695.2
ADGRD1	ENSG00000111452.15	ENST00000261654.10	ENSP00000261654.5	NM_198827.5	283383	NP_942122.2
ADGRD2	ENSG00000180264.13	ENST00000696331.1	ENSP00000512565.1	NM_001395425.1	347088	NP_001382354.1
ADGRE1	ENSG00000174837.16	ENST00000312053.9	ENSP00000311545.3	NM_001974.5	2015	NP_001965.3
ADGRE2	ENSG00000127507.20	ENST00000315576.8	ENSP00000319883.3	NM_013447.4	30817	NP_038475.2
ADGRE3	ENSG00000131355.18	ENST00000253673.6	ENSP00000253673.4	NM_032571.5	84658	NP_115960.2
ADGRE5	ENSG00000123146.22	ENST00000242786.6	ENSP00000242786.4	NM_078481.4	976	NP_510966.1
ADGRF1	ENSG00000153292.18	ENST00000371253.7	ENSP00000360299.2	NM_153840.4	266977	NP_722582.2
ADGRF3	ENSG00000173567.17	ENST00000651242.2	ENSP00000498434.1	NM_001321971.2	165082	NP_001308900.1
ADGRF4	ENSG00000153294.14	ENST00000283303.3	ENSP00000283303.2	NM_153838.5	221393	NP_722580.3
ADGRF5	ENSG00000069122.21	ENST00000283296.12	ENSP00000283296.7	NM_001098518.2	221395	NP_001091988.1
ADGRG1	ENSG00000205336.16	ENST00000562631.7	ENSP00000455351.2	NM_201525.4	9289	NP_958933.1
ADGRG2	ENSG00000173698.20	ENST00000379869.8	ENSP00000369198.3	NM_001079858.3	10149	NP_001073327.1
ADGRG3	ENSG00000182885.19	ENST00000333493.9	ENSP00000332900.4	NM_170776.5	222487	NP_740746.4
ADGRG4	ENSG00000156920.11	ENST00000394143.6	ENSP00000377699.1	NM_153834.4	139378	NP_722576.3
ADGRG5	ENSG00000159618.18	ENST00000349457.8	ENSP00000290823.4	NM_001304376.3	221188	NP_001291305.1
ADGRG6	ENSG00000112414.17	ENST00000367609.8	ENSP00000356581.3	NM_198569.3	57211	NP_940971.2
ADGRG7	ENSG00000144820.10	ENST00000273352.8	ENSP00000273352.3	NM_032787.3	84873	NP_116176.2
ADGRL1	ENSG00000072071.19	ENST00000361434.8	ENSP00000355328.2	NM_014921.5	22859	NP_055736.2
ADGRL2	ENSG00000117114.23	ENST00000686636.1	ENSP00000509478.1	NM_001366006.2	23266	NP_001352935.1
ADGRL3	ENSG00000150471.19	ENST00000683033.1	ENSP00000507980.1	NM_001387552.1	23284	NP_001374481.1
ADGRL4	ENSG00000162618.17	ENST00000370742.4	ENSP00000359778.3	NM_022159.4	64123	NP_071442.2
ADGRV1	ENSG00000164199.19	ENST00000405460.9	ENSP00000384582.2	NM_032119.4	84059	NP_115495.3
ADH1A	ENSG00000187758.10	ENST00000209668.3	ENSP00000209668.2	NM_000667.4	124	NP_000658.1
ADH1B	ENSG00000196616.17	ENST00000305046.13	ENSP00000306606.8	NM_000668.6	125	NP_000659.2
ADH1C	ENSG00000248144.8	ENST00000515683.6	ENSP00000426083.1	NM_000669.5	126	NP_000660.1
ADH4	ENSG00000198099.11	ENST00000265512.12	ENSP00000265512.7	NM_000670.5	127	NP_000661.2
ADH5	ENSG00000197894.14	ENST00000296412.14	ENSP00000296412.8	NM_000671.4	128	NP_000662.3
ADH6	ENSG00000172955.19	ENST00000394899.6	ENSP00000378359.2	NM_001102470.2	130	NP_001095940.1
ADH7	ENSG00000196344.13	ENST00000437033.7	ENSP00000414254.2	NM_000673.7	131	NP_000664.3
ADHFE1	ENSG00000147576.19	ENST00000396623.8	ENSP00000379865.3	NM_144650.3	137872	NP_653251.2
ADI1	ENSG00000182551.16	ENST00000327435.11	ENSP00000333666.3	NM_018269.4	55256	NP_060739.2
ADIG	ENSG00000182035.14	ENST00000537425.3	ENSP00000440331.2	NM_001393816.1	149685	NP_001380745.1
ADIPOQ	ENSG00000181092.12	ENST00000320741.7	ENSP00000320709.2	NM_004797.4	9370	NP_004788.1
ADIPOR1	ENSG00000159346.15	ENST00000340990.10	ENSP00000341785.5	NM_015999.6	51094	NP_057083.2
ADIPOR2	ENSG00000006831.12	ENST00000357103.5	ENSP00000349616.4	NM_024551.3	79602	NP_078827.2
ADIRF	ENSG00000148671.17	ENST00000372013.8	ENSP00000361083.3	NM_006829.3	10974	NP_006820.1
ADISSP	ENSG00000101220.20	ENST00000379772.4	ENSP00000369097.4	NM_001258429.2	54976	NP_001245358.1
ADK	ENSG00000156110.17	ENST00000539909.6	ENSP00000443965.2	NM_006721.4	132	NP_006712.2
ADM	ENSG00000148926.12	ENST00000278175.10	ENSP00000278175.5	NM_001124.3	133	NP_001115.1
ADM2	ENSG00000128165.10	ENST00000395737.2	ENSP00000379086.1	NM_001253845.2	79924	NP_001240774.1
ADM5	ENSG00000224420.6	ENST00000420022.4	ENSP00000393631.2	NM_001101340.2	199800	NP_001094810.1
ADNP	ENSG00000101126.20	ENST00000621696.5	ENSP00000483881.1	NM_001282531.3	23394	NP_001269460.1
ADNP2	ENSG00000101544.11	ENST00000262198.9	ENSP00000262198.3	NM_014913.4	22850	NP_055728.1
ADO	ENSG00000181915.6	ENST00000373783.3	ENSP00000362888.1	NM_032804.6	84890	NP_116193.2
ADORA1	ENSG00000163485.20	ENST00000337894.9	ENSP00000338435.4	NM_000674.3	134	NP_000665.1
ADORA2A	ENSG00000128271.24	ENST00000337539.12	ENSP00000336630.6	NM_000675.6	135	NP_000666.2
ADORA2B	ENSG00000170425.5	ENST00000304222.3	ENSP00000304501.2	NM_000676.4	136	NP_000667.1
ADORA3	ENSG00000282608.3	ENST00000241356.5	ENSP00000241356.4	NM_000677.4	140	NP_000668.1
ADPGK	ENSG00000159322.20	ENST00000456471.3	ENSP00000397694.3	NM_001365225.1	83440	NP_001352154.1
ADPRH	ENSG00000144843.14	ENST00000357003.8	ENSP00000349496.3	NM_001125.4	141	NP_001116.1
ADPRHL1	ENSG00000153531.16	ENST00000612156.3	ENSP00000489048.1	NM_001394807.1	113622	NP_001381736.1
ADPRM	ENSG00000170222.14	ENST00000379774.5	ENSP00000369099.4	NM_020233.5	56985	NP_064618.3
ADPRS	ENSG00000116863.13	ENST00000373178.5	ENSP00000362273.4	NM_017825.3	54936	NP_060295.1
ADRA1A	ENSG00000120907.19	ENST00000380573.4	ENSP00000369947.3	NM_000680.4	148	NP_000671.2
ADRA1B	ENSG00000170214.6	ENST00000306675.5	ENSP00000306662.3	NM_000679.4	147	NP_000670.1
ADRA1D	ENSG00000171873.9	ENST00000379453.6	ENSP00000368766.4	NM_000678.4	146	NP_000669.1
ADRA2A	ENSG00000150594.7	ENST00000280155.4	ENSP00000280155.2	NM_000681.4	150	NP_000672.3
ADRA2B	ENSG00000274286.2	ENST00000620793.2	ENSP00000480573.1	NM_000682.7	151	NP_000673.2
ADRA2C	ENSG00000184160.8	ENST00000330055.7	ENSP00000386069.2	NM_000683.4	152	NP_000674.2
ADRB1	ENSG00000043591.6	ENST00000369295.4	ENSP00000358301.2	NM_000684.3	153	NP_000675.1
ADRB2	ENSG00000169252.6	ENST00000305988.6	ENSP00000305372.4	NM_000024.6	154	NP_000015.2
ADRB3	ENSG00000188778.7	ENST00000345060.5	ENSP00000343782.3	NM_000025.3	155	NP_000016.1
ADRM1	ENSG00000130706.15	ENST00000253003.7	ENSP00000253003.2	NM_007002.4	11047	NP_008933.2
ADSL	ENSG00000239900.16	ENST00000623063.3	ENSP00000485525.1	NM_000026.4	158	NP_000017.1
ADSS1	ENSG00000185100.14	ENST00000330877.7	ENSP00000331260.2	NM_152328.5	122622	NP_689541.1
ADSS2	ENSG00000035687.11	ENST00000366535.4	ENSP00000355493.3	NM_001126.5	159	NP_001117.2
ADTRP	ENSG00000111863.15	ENST00000414691.8	ENSP00000404416.2	NM_032744.4	84830	NP_116133.1
AEBP1	ENSG00000106624.13	ENST00000223357.8	ENSP00000223357.3	NM_001129.5	165	NP_001120.3
AEBP2	ENSG00000139154.17	ENST00000266508.14	ENSP00000266508.9	NM_153207.5	121536	NP_694939.2
AEN	ENSG00000181026.17	ENST00000332810.4	ENSP00000331944.3	NM_022767.4	64782	NP_073604.3
AFAP1	ENSG00000196526.13	ENST00000420658.6	ENSP00000410689.1	NM_001134647.2	60312	NP_001128119.1
AFAP1L1	ENSG00000157510.16	ENST00000296721.9	ENSP00000296721.4	NM_152406.4	134265	NP_689619.1
AFAP1L2	ENSG00000169129.18	ENST00000304129.9	ENSP00000303042.4	NM_001001936.3	84632	NP_001001936.1
AFDN	ENSG00000130396.24	ENST00000683244.1	ENSP00000507324.1	NM_001386888.1	4301	NP_001373817.1
AFF1	ENSG00000172493.25	ENST00000395146.9	ENSP00000378578.4	NM_001166693.3	4299	NP_001160165.1
AFF2	ENSG00000155966.15	ENST00000370460.7	ENSP00000359489.2	NM_002025.4	2334	NP_002016.2
AFF3	ENSG00000144218.22	ENST00000672756.2	ENSP00000500419.1	NM_001386135.1	3899	NP_001373064.1
AFF4	ENSG00000072364.15	ENST00000265343.10	ENSP00000265343.5	NM_014423.4	27125	NP_055238.1
AFG1L	ENSG00000135537.19	ENST00000368977.9	ENSP00000357973.3	NM_145315.5	246269	NP_660358.2
AFG2A	ENSG00000145375.11	ENST00000274008.5	ENSP00000274008.3	NM_145207.3	166378	NP_660208.2
AFG2B	ENSG00000171763.22	ENST00000305560.11	ENSP00000305494.6	NM_024063.3	79029	NP_076968.2
AFG3L2	ENSG00000141385.14	ENST00000269143.8	ENSP00000269143.2	NM_006796.3	10939	NP_006787.2
AFM	ENSG00000079557.7	ENST00000226355.5	ENSP00000226355.3	NM_001133.2	173	NP_001124.1
AFMID	ENSG00000183077.18	ENST00000409257.10	ENSP00000386890.4	NM_001010982.5	125061	NP_001010982.2
AFP	ENSG00000081051.9	ENST00000395792.7	ENSP00000379138.2	NM_001134.3	174	NP_001125.1
AFTPH	ENSG00000119844.19	ENST00000409933.6	ENSP00000387071.1	NM_203437.4	54812	NP_982261.2
AGA	ENSG00000038002.11	ENST00000264595.7	ENSP00000264595.2	NM_000027.4	175	NP_000018.2
AGAP1	ENSG00000157985.21	ENST00000304032.13	ENSP00000307634.7	NM_001037131.3	116987	NP_001032208.1
AGAP2	ENSG00000135439.14	ENST00000547588.6	ENSP00000449241.1	NM_001122772.3	116986	NP_001116244.1
AGAP3	ENSG00000133612.22	ENST00000397238.7	ENSP00000380413.2	NM_031946.7	116988	NP_114152.3
AGAP4	ENSG00000188234.17	ENST00000616763.6	ENSP00000483751.2	NM_001276343.3	119016	NP_001263272.2
AGAP5	ENSG00000172650.16	ENST00000374094.9	ENSP00000363207.4	NM_001144000.4	729092	NP_001137472.1
AGAP6	ENSG00000204149.17	ENST00000412531.7	ENSP00000500374.1	NM_001077665.3	414189	NP_001071133.2
AGAP9	ENSG00000204172.13	ENST00000452145.6	ENSP00000392206.2	NM_001190810.1	642517	NP_001177739.1
AGBL1	ENSG00000273540.5	ENST00000614907.3	ENSP00000490608.2	NM_001386094.1	123624	NP_001373023.1
AGBL2	ENSG00000165923.17	ENST00000525123.6	ENSP00000435582.1	NM_024783.4	79841	NP_079059.2
AGBL3	ENSG00000146856.15	ENST00000436302.6	ENSP00000388275.2	NM_178563.4	340351	NP_848658.3
AGBL4	ENSG00000186094.19	ENST00000371839.6	ENSP00000360905.1	NM_032785.4	84871	NP_116174.3
AGBL5	ENSG00000084693.18	ENST00000360131.5	ENSP00000353249.4	NM_021831.6	60509	NP_068603.4
AGER	ENSG00000204305.18	ENST00000375076.9	ENSP00000364217.4	NM_001136.5	177	NP_001127.1
AGFG1	ENSG00000173744.20	ENST00000310078.13	ENSP00000312059.7	NM_004504.5	3267	NP_004495.2
AGFG2	ENSG00000106351.15	ENST00000300176.9	ENSP00000300176.4	NM_006076.5	3268	NP_006067.3
AGGF1	ENSG00000164252.15	ENST00000312916.12	ENSP00000316109.7	NM_018046.5	55109	NP_060516.2
AGK	ENSG00000006530.20	ENST00000649286.2	ENSP00000497280.1	NM_018238.4	55750	NP_060708.1
AGL	ENSG00000162688.19	ENST00000361915.8	ENSP00000355106.3	NM_000642.3	178	NP_000633.2
AGMAT	ENSG00000116771.8	ENST00000375826.4	ENSP00000364986.3	NM_024758.5	79814	NP_079034.3
AGMO	ENSG00000187546.16	ENST00000342526.8	ENSP00000341662.3	NM_001004320.2	392636	NP_001004320.1
AGO1	ENSG00000092847.16	ENST00000373204.6	ENSP00000362300.4	NM_012199.5	26523	NP_036331.1
AGO2	ENSG00000123908.13	ENST00000220592.10	ENSP00000220592.5	NM_012154.5	27161	NP_036286.2
AGO3	ENSG00000126070.22	ENST00000373191.9	ENSP00000362287.3	NM_024852.4	192669	NP_079128.2
AGO4	ENSG00000134698.13	ENST00000373210.4	ENSP00000362306.3	NM_017629.4	192670	NP_060099.2
AGPAT1	ENSG00000204310.15	ENST00000375107.8	ENSP00000364248.3	NM_006411.4	10554	NP_006402.1
AGPAT2	ENSG00000169692.16	ENST00000371696.7	ENSP00000360761.2	NM_006412.4	10555	NP_006403.2
AGPAT3	ENSG00000160216.22	ENST00000291572.13	ENSP00000291572.8	NM_020132.5	56894	NP_064517.1
AGPAT4	ENSG00000026652.17	ENST00000320285.9	ENSP00000314036.4	NM_020133.3	56895	NP_064518.1
AGPAT5	ENSG00000155189.14	ENST00000285518.11	ENSP00000285518.6	NM_018361.5	55326	NP_060831.2
AGPS	ENSG00000018510.20	ENST00000264167.11	ENSP00000264167.4	NM_003659.4	8540	NP_003650.1
AGR2	ENSG00000106541.14	ENST00000419304.7	ENSP00000391490.2	NM_006408.4	10551	NP_006399.1
AGR3	ENSG00000173467.11	ENST00000310398.7	ENSP00000308606.2	NM_176813.5	155465	NP_789783.1
AGRN	ENSG00000188157.17	ENST00000379370.7	ENSP00000368678.2	NM_198576.4	375790	NP_940978.2
AGRP	ENSG00000159723.7	ENST00000290953.3	ENSP00000290953.3	NM_001138.2	181	NP_001129.1
AGT	ENSG00000135744.10	ENST00000366667.6	ENSP00000355627.5	NM_001384479.1	183	NP_001371408.1
AGTPBP1	ENSG00000135049.18	ENST00000357081.8	ENSP00000349592.3	NM_001330701.2	23287	NP_001317630.1
AGTR1	ENSG00000144891.21	ENST00000349243.8	ENSP00000273430.3	NM_000685.5	185	NP_000676.1
AGTR2	ENSG00000180772.10	ENST00000371906.5	ENSP00000360973.4	NM_000686.5	186	NP_000677.2
AGTRAP	ENSG00000177674.18	ENST00000314340.10	ENSP00000319713.5	NM_020350.5	57085	NP_065083.3
AGXT	ENSG00000172482.7	ENST00000307503.4	ENSP00000302620.3	NM_000030.3	189	NP_000021.1
AGXT2	ENSG00000113492.16	ENST00000231420.11	ENSP00000231420.6	NM_031900.4	64902	NP_114106.1
AHCTF1	ENSG00000153207.18	ENST00000648844.2	ENSP00000497061.2	NM_001323342.2	25909	NP_001310271.1
AHCY	ENSG00000101444.14	ENST00000217426.7	ENSP00000217426.2	NM_000687.4	191	NP_000678.1
AHCYL1	ENSG00000168710.20	ENST00000369799.10	ENSP00000358814.5	NM_006621.7	10768	NP_006612.2
AHCYL2	ENSG00000158467.19	ENST00000325006.8	ENSP00000315931.3	NM_015328.4	23382	NP_056143.1
AHDC1	ENSG00000126705.17	ENST00000673934.1	ENSP00000501218.1	NM_001371928.1	27245	NP_001358857.1
AHI1	ENSG00000135541.24	ENST00000265602.11	ENSP00000265602.6	NM_001134831.2	54806	NP_001128303.1
AHNAK	ENSG00000124942.15	ENST00000378024.9	ENSP00000367263.4	NM_001620.3	79026	NP_001611.1
AHNAK2	ENSG00000185567.8	ENST00000333244.6	ENSP00000353114.4	NM_138420.4	113146	NP_612429.2
AHR	ENSG00000106546.16	ENST00000242057.9	ENSP00000242057.4	NM_001621.5	196	NP_001612.1
AHRR	ENSG00000063438.22	ENST00000684583.1	ENSP00000507476.1	NM_001377236.1	57491	NP_001364165.1
AHSA1	ENSG00000100591.10	ENST00000216479.8	ENSP00000216479.3	NM_012111.3	10598	NP_036243.1
AHSG	ENSG00000145192.15	ENST00000411641.7	ENSP00000393887.2	NM_001622.4	197	NP_001613.2
AHSP	ENSG00000169877.12	ENST00000302312.9	ENSP00000307199.4	NM_016633.4	51327	NP_057717.1
AICDA	ENSG00000111732.13	ENST00000229335.11	ENSP00000229335.6	NM_020661.4	57379	NP_065712.1
AIDA	ENSG00000186063.15	ENST00000340020.11	ENSP00000339161.6	NM_022831.4	64853	NP_073742.2
AIF1	ENSG00000204472.15	ENST00000376059.8	ENSP00000365227.3	NM_001623.5	199	NP_001614.3
AIF1L	ENSG00000126878.15	ENST00000247291.8	ENSP00000247291.3	NM_031426.4	83543	NP_113614.1
AIFM1	ENSG00000156709.17	ENST00000287295.8	ENSP00000287295.3	NM_004208.4	9131	NP_004199.1
AIFM2	ENSG00000042286.17	ENST00000307864.3	ENSP00000312370.1	NM_032797.6	84883	NP_116186.1
AIFM3	ENSG00000183773.18	ENST00000440238.4	ENSP00000390798.2	NM_001386814.1	150209	NP_001373743.1
AIG1	ENSG00000146416.20	ENST00000357847.9	ENSP00000350509.4	NM_016108.4	51390	NP_057192.2
AIM2	ENSG00000163568.19	ENST00000368130.9	ENSP00000357112.4	NM_004833.3	9447	NP_004824.1
AIMP1	ENSG00000164022.20	ENST00000672341.1	ENSP00000500620.1	NM_001142416.2	9255	NP_001135888.2
AIMP2	ENSG00000106305.12	ENST00000223029.8	ENSP00000223029.3	NM_006303.4	7965	NP_006294.2
AIP	ENSG00000110711.13	ENST00000279146.8	ENSP00000279146.3	NM_003977.4	9049	NP_003968.3
AIPL1	ENSG00000129221.17	ENST00000381129.8	ENSP00000370521.3	NM_014336.5	23746	NP_055151.3
AIRE	ENSG00000160224.18	ENST00000291582.6	ENSP00000291582.5	NM_000383.4	326	NP_000374.1
